length age watertemp
620 14 25
1315 28 25
2120 41 25
2600 55 25
3110 69 25
3535 83 25
3935 97 25
4465 111 25
4530 125 25
4570 139 25
4600 153 25
625 14 27
1215 28 27
2110 41 27
2805 55 27
3255 69 27
4015 83 27
4315 97 27
4495 111 27
4535 125 27
4600 139 27
4600 153 27
590 14 29
1305 28 29
2140 41 29
2890 55 29
3920 69 29
3920 83 29
4515 97 29
4520 111 29
4525 125 29
4565 139 29
4566 153 29
590 14 31
1205 28 31
1915 41 31
2140 55 31
2710 69 31
3020 83 31
3030 97 31
3040 111 31
3180 125 31
3257 139 31
3214 153 31
