Year;Women Full time 35h;Women Part time 20-34 t;Women Part time 1-19 t;Women Unemployed;Women Not in workforce;Men Full time 35h;Men Part time 20-34 t;Men Part time 1-19 t;Men Unemployed;Men Not in workforce
1970;37,1;14,5;7,6;0,9;39,9;87,4;1,2;0,7;1;9,7
1971;38;15,2;7,2;1,4;38,2;86,5;1,2;0,6;1,8;9,9
1972;38,4;15,8;7,2;1,6;37;85,9;1,2;0,6;1,9;10,3
1973;38,6;16,7;7;1,6;36,1;86,4;1,2;0,5;1,8;10,1
1974;40,4;17,5;7,1;1,3;33,7;87,4;1,1;0,5;1,3;9,7
1975;41,1;19,5;7,2;1,1;31;87,9;1,4;0,6;1;9
1976;39;21,3;8,6;1,2;29,9;87,5;1,9;0,8;1;8,8
1977;38,8;23,2;8,5;1,3;28,1;86,4;2,4;0,8;1,2;9,2
1978;38,8;24,9;8,3;1,5;26,5;85,1;2,8;0,9;1,7;9,4
1979;39,3;26,6;7,9;1,5;24,7;85;3,2;1;1,5;9,3
1980;39,9;28;7,5;1,5;23,2;84,8;3,7;1;1,3;9,2
1981;41,1;28,8;7,2;1,7;21,2;83,5;4;0,9;1,9;9,7
1982;41,2;29,5;6,7;2,3;20,3;82,8;3,8;1,1;2,4;9,8
1983;42,1;29,8;6,1;2,5;19,4;82,7;3,8;1;2,8;9,8
1984;43,3;29,8;5,7;2,6;18,7;82,7;3,6;1;2,6;10,1
1985;44,9;30;5;2,3;17,8;83,1;3,5;1;2,5;9,9
1986;46,4;29,8;4,7;2,2;16,8;83,1;3,6;0,9;2,3;10
1987;45,4;32,3;4,4;2,5;15,7;82,7;4;0,9;2,4;10,1
1988;47,5;31,6;4;2,1;15;83,1;4,4;0,9;2;9,8
1989;49,2;30,7;3,7;1,8;14,7;83,5;4,6;0,9;1,7;9,5
1990;50,6;30;3,5;1,9;14,2;83,6;4,6;0,9;1,9;9,3
1991;49,7;29,4;3,6;2,9;14,8;81,4;4,5;1,1;3,6;9,8
1992;47,8;28,3;3,8;4,8;16;76,7;4,7;1,3;6,9;11,2
1993;45,3;27,1;3,9;7,8;17,3;71,3;4,8;1,5;11;12,7
1994;44,7;26;4;8,4;18,4;70,2;5;1,7;11,2;13,3
1995;45,3;25,4;4;8,6;18,3;71,4;4,9;1,7;10,2;13,2
1996;45,7;24,1;3,9;9,8;18,2;71,2;4,8;1,7;10,6;13
1997;45,7;23;4;10,1;19;70,6;4,7;1,7;10,7;13,7
1998;46,6;22,9;3,7;8,4;20;72;4,6;1,7;8,9;14
1999;48,6;22,4;3,5;7,2;19,7;72,9;4,7;1,8;7,6;13,9
2000;50,1;22;3,5;5,7;19,6;74,1;4,6;1,9;6,4;13,8
2001;51,5;21,5;3,7;5;19,1;74,6;4,9;1,8;5,5;13,8
2002;51,4;21,4;3,7;4,9;19,2;73,8;5;1,9;5,7;14,2
2003;51;20,9;3,8;5,5;19,7;72,6;5,3;2;6,4;14,4
2004;50,2;21;4;6,4;19,6;71,6;5,8;2,3;6,9;14,2
2005;49,2;22,4;3,7;5,3;19,2;72,1;6,2;2,2;6,1;13,1
2006;49,5;22,6;3,6;4,9;19,3;73,3;6,2;2,1;5,3;13,1
2007;50,5;22,7;3,8;4,3;18,6;74,4;6,4;2,1;4,4;12,6
2008;51;22,2;3,9;4,3;18,5;74,7;6,4;2,2;4,3;12,3
2009;50,2;21,6;3,8;5,5;18,8;71,9;6,5;2,3;6,7;12,4
2010;49,9;21,2;3,8;6;19;72,2;6,5;2,3;6,9;12,1
2011;51,7;20,8;3,9;5,5;18;73,4;6,3;2,3;6,2;11,7
2012;52,7;20,2;3,8;5,5;18;72,9;6,4;2,5;6,6;11,5
